name,display_name,pubmed_occurrence
breast neoplasms,Breast Neoplasms,122226
hypertension,Hypertension,107294
coronary artery disease,Coronary Artery Disease,82819
lung neoplasms,Lung Neoplasms,78009
myocardial infarction,Myocardial Infarction,75945
hiv infections,HIV Infections,66601
coronary disease,Coronary Disease,64339
asthma,Asthma,63669
adenocarcinoma,Adenocarcinoma,60855
dementia,Dementia,55782
prostatic neoplasms,Prostatic Neoplasms,54606
skin neoplasms,Skin Neoplasms,53590
obesity,Obesity,50477
"carcinoma, squamous cell","Carcinoma, Squamous Cell",50241
pain,Pain,49599
liver neoplasms,Liver Neoplasms,49005
"arthritis, rheumatoid","Arthritis, Rheumatoid",48854
schizophrenia,Schizophrenia,46537
"diabetes mellitus, type 2","Diabetes Mellitus, Type 2",46242
brain neoplasms,Brain Neoplasms,45792
heart failure,Heart Failure,44310
postoperative complications,Postoperative Complications,41449
"kidney failure, chronic","Kidney Failure, Chronic",41060
alzheimer disease,Alzheimer Disease,39668
diabetes mellitus,Diabetes Mellitus,38441
stomach neoplasms,Stomach Neoplasms,37871
"diabetes mellitus, type 1","Diabetes Mellitus, Type 1",37268
ovarian neoplasms,Ovarian Neoplasms,36081
melanoma,Melanoma,35939
kidney diseases,Kidney Diseases,35339
myocardial ischemia,Myocardial Ischemia,35295
depressive disorder,Depressive Disorder,34054
epilepsy,Epilepsy,33135
carcinoma,Carcinoma,32097
cerebral infarction,Cerebral Infarction,32039
"tuberculosis, pulmonary","Tuberculosis, Pulmonary",31919
acquired immunodeficiency syndrome,Acquired Immunodeficiency Syndrome,31241
uterine cervical neoplasms,Uterine Cervical Neoplasms,31050
lung diseases,Lung Diseases,30739
kidney neoplasms,Kidney Neoplasms,30523
alcoholism,Alcoholism,30471
colorectal neoplasms,Colorectal Neoplasms,30458
"carcinoma, hepatocellular","Carcinoma, Hepatocellular",30294
colonic neoplasms,Colonic Neoplasms,28456
parkinson disease,Parkinson Disease,28193
bacterial infections,Bacterial Infections,28042
liver diseases,Liver Diseases,28019
pancreatic neoplasms,Pancreatic Neoplasms,27850
"lupus erythematosus, systemic","Lupus Erythematosus, Systemic",27647
dog diseases,Dog Diseases,27332
arteriosclerosis,Arteriosclerosis,26436
liver cirrhosis,Liver Cirrhosis,25739
"arrhythmias, cardiac","Arrhythmias, Cardiac",25575
skin diseases,Skin Diseases,25481
brain diseases,Brain Diseases,25422
leukemia,Leukemia,25404
multiple sclerosis,Multiple Sclerosis,24939
substance-related disorders,Substance-Related Disorders,24920
urinary bladder neoplasms,Urinary Bladder Neoplasms,24614
inflammation,Inflammation,24475
heart diseases,Heart Diseases,24032
pregnancy complications,Pregnancy Complications,23765
lymphoma,Lymphoma,23467
cognition disorders,Cognition Disorders,23227
thrombosis,Thrombosis,23009
head and neck neoplasms,Head and Neck Neoplasms,22321
stroke,Stroke,22261
autoimmune diseases,Autoimmune Diseases,22187
cattle diseases,Cattle Diseases,22042
pancreatitis,Pancreatitis,21934
bone neoplasms,Bone Neoplasms,21928
brain injuries,Brain Injuries,21659
osteoporosis,Osteoporosis,20961
sepsis,Sepsis,20695
brain ischemia,Brain Ischemia,20513
thyroid neoplasms,Thyroid Neoplasms,20507
burns,Burns,20448
hepatitis c,Hepatitis C,20364
"diabetes mellitus, experimental","Diabetes Mellitus, Experimental",19998
cerebrovascular disorders,Cerebrovascular Disorders,19754
adenoma,Adenoma,18992
cystic fibrosis,Cystic Fibrosis,18917
multiple myeloma,Multiple Myeloma,18601
"neoplasms, experimental","Neoplasms, Experimental",18564
tuberculosis,Tuberculosis,18526
hodgkin disease,Hodgkin Disease,18508
"carcinoma, non-small-cell lung","Carcinoma, Non-Small-Cell Lung",18429
ischemia,Ischemia,18355
seizures,Seizures,18338
uterine neoplasms,Uterine Neoplasms,18245
esophageal neoplasms,Esophageal Neoplasms,17855
"leukemia, myeloid, acute","Leukemia, Myeloid, Acute",17814
staphylococcal infections,Staphylococcal Infections,17801
acute kidney injury,Acute Kidney Injury,17766
psoriasis,Psoriasis,17618
crohn disease,Crohn Disease,17462
"lymphoma, non-hodgkin","Lymphoma, Non-Hodgkin",17427
bipolar disorder,Bipolar Disorder,17414
hemorrhage,Hemorrhage,17240
"abnormalities, multiple","Abnormalities, Multiple",16849
mental retardation,Mental Retardation,16842
gastrointestinal hemorrhage,Gastrointestinal Hemorrhage,16416
"neoplasm recurrence, local","Neoplasm Recurrence, Local",16302
glioma,Glioma,15897
hypersensitivity,Hypersensitivity,15835
atrial fibrillation,Atrial Fibrillation,15779
pneumonia,Pneumonia,15737
"fractures, bone","Fractures, Bone",15485
helicobacter infections,Helicobacter Infections,15366
calcinosis,Calcinosis,15359
psychotic disorders,Psychotic Disorders,15313
"heart defects, congenital","Heart Defects, Congenital",15181
spinal cord injuries,Spinal Cord Injuries,14977
common cold,Common Cold,14819
angina pectoris,Angina Pectoris,14713
pulmonary embolism,Pulmonary Embolism,14625
urinary tract infections,Urinary Tract Infections,14472
