mode,include_basic,include_local,include_pmi,include_npmi,include_llr,TFIDF_param,COOCC_param,PMI_param,NPMI_param,LLR_param,average_score
linear,True,True,True,True,True,0.4,0.2,0.8,0.5,0.5,172130.50772925076
linear,True,True,True,True,True,0.4,0.2,0.8,0.5,1.0,203198.45540744593
linear,True,True,True,True,True,0.4,0.2,0.8,0.5,1.5,234534.33466157515
linear,True,True,True,True,True,0.4,0.2,0.8,1.0,0.5,172133.8208560879
linear,True,True,True,True,True,0.4,0.2,0.8,1.0,1.0,203201.51446126157
linear,True,True,True,True,True,0.4,0.2,0.8,1.0,1.5,234537.39371539085
linear,True,True,True,True,True,0.4,0.2,0.8,1.5,0.5,172137.13398292498
linear,True,True,True,True,True,0.4,0.2,0.8,1.5,1.0,203204.5735150773
linear,True,True,True,True,True,0.4,0.2,0.8,1.5,1.5,234540.4527692065
linear,True,True,True,True,True,0.4,0.2,1.0,0.5,0.5,172141.27125051658
linear,True,True,True,True,True,0.4,0.2,1.0,0.5,1.0,203208.3333261991
linear,True,True,True,True,True,0.4,0.2,1.0,0.5,1.5,234544.21258032834
linear,True,True,True,True,True,0.4,0.2,1.0,1.0,0.5,172144.58437735366
linear,True,True,True,True,True,0.4,0.2,1.0,1.0,1.0,203211.3923800148
linear,True,True,True,True,True,0.4,0.2,1.0,1.0,1.5,234547.27163414407
linear,True,True,True,True,True,0.4,0.2,1.0,1.5,0.5,172147.89750419077
linear,True,True,True,True,True,0.4,0.2,1.0,1.5,1.0,203214.45143383046
linear,True,True,True,True,True,0.4,0.2,1.0,1.5,1.5,234550.3306879598
linear,True,True,True,True,True,0.4,0.2,1.2,0.5,0.5,172152.0347717824
linear,True,True,True,True,True,0.4,0.2,1.2,0.5,1.0,203218.2112449523
linear,True,True,True,True,True,0.4,0.2,1.2,0.5,1.5,234554.0904990816
linear,True,True,True,True,True,0.4,0.2,1.2,1.0,0.5,172155.34789861945
linear,True,True,True,True,True,0.4,0.2,1.2,1.0,1.0,203221.27029876792
linear,True,True,True,True,True,0.4,0.2,1.2,1.0,1.5,234557.1495528973
linear,True,True,True,True,True,0.4,0.2,1.2,1.5,0.5,172158.6610254566
linear,True,True,True,True,True,0.4,0.2,1.2,1.5,1.0,203224.32935258368
linear,True,True,True,True,True,0.4,0.2,1.2,1.5,1.5,234560.20860671293
linear,True,True,True,True,True,0.4,0.4,0.8,0.5,0.5,305331.51263099484
linear,True,True,True,True,True,0.4,0.4,0.8,0.5,1.0,335731.5716135537
linear,True,True,True,True,True,0.4,0.4,0.8,0.5,1.5,366938.41425896436
linear,True,True,True,True,True,0.4,0.4,0.8,1.0,0.5,305335.14223334903
linear,True,True,True,True,True,0.4,0.4,0.8,1.0,1.0,335734.79702717054
linear,True,True,True,True,True,0.4,0.4,0.8,1.0,1.5,366941.47331278014
linear,True,True,True,True,True,0.4,0.4,0.8,1.5,0.5,305338.77183570317
linear,True,True,True,True,True,0.4,0.4,0.8,1.5,1.0,335738.02244078746
linear,True,True,True,True,True,0.4,0.4,0.8,1.5,1.5,366944.5323665957
linear,True,True,True,True,True,0.4,0.4,1.0,0.5,0.5,305343.4038617077
linear,True,True,True,True,True,0.4,0.4,1.0,0.5,1.0,335742.03572014393
linear,True,True,True,True,True,0.4,0.4,1.0,0.5,1.5,366948.2921777176
linear,True,True,True,True,True,0.4,0.4,1.0,1.0,0.5,305347.03346406185
linear,True,True,True,True,True,0.4,0.4,1.0,1.0,1.0,335745.2611337608
linear,True,True,True,True,True,0.4,0.4,1.0,1.0,1.5,366951.35123153334
linear,True,True,True,True,True,0.4,0.4,1.0,1.5,0.5,305350.66306641605
linear,True,True,True,True,True,0.4,0.4,1.0,1.5,1.0,335748.48654737766
linear,True,True,True,True,True,0.4,0.4,1.0,1.5,1.5,366954.41028534895
linear,True,True,True,True,True,0.4,0.4,1.2,0.5,0.5,305355.2950924204
linear,True,True,True,True,True,0.4,0.4,1.2,0.5,1.0,335752.49982673407
linear,True,True,True,True,True,0.4,0.4,1.2,0.5,1.5,366958.17009647086
linear,True,True,True,True,True,0.4,0.4,1.2,1.0,0.5,305358.9246947747
linear,True,True,True,True,True,0.4,0.4,1.2,1.0,1.0,335755.7252403509
linear,True,True,True,True,True,0.4,0.4,1.2,1.0,1.5,366961.2291502866
linear,True,True,True,True,True,0.4,0.4,1.2,1.5,0.5,305362.5542971289
linear,True,True,True,True,True,0.4,0.4,1.2,1.5,1.0,335758.9506539679
linear,True,True,True,True,True,0.4,0.4,1.2,1.5,1.5,366964.2882041022
linear,True,True,True,True,True,0.4,0.6,0.8,0.5,0.5,439038.8274112133
linear,True,True,True,True,True,0.4,0.6,0.8,0.5,1.0,468671.45669428905
linear,True,True,True,True,True,0.4,0.6,0.8,0.5,1.5,499509.54055845976
linear,True,True,True,True,True,0.4,0.6,0.8,1.0,0.5,439042.65368294955
linear,True,True,True,True,True,0.4,0.6,0.8,1.0,1.0,468674.7834362435
linear,True,True,True,True,True,0.4,0.6,0.8,1.0,1.5,499512.76597207657
linear,True,True,True,True,True,0.4,0.6,0.8,1.5,0.5,439046.47995468567
linear,True,True,True,True,True,0.4,0.6,0.8,1.5,1.0,468678.1101781979
linear,True,True,True,True,True,0.4,0.6,0.8,1.5,1.5,499515.9913856936
linear,True,True,True,True,True,0.4,0.6,1.0,0.5,0.5,439051.433632894
linear,True,True,True,True,True,0.4,0.6,1.0,0.5,1.0,468682.26075559465
linear,True,True,True,True,True,0.4,0.6,1.0,0.5,1.5,499520.00466505
linear,True,True,True,True,True,0.4,0.6,1.0,1.0,0.5,439055.25990462996
linear,True,True,True,True,True,0.4,0.6,1.0,1.0,1.0,468685.58749754913
linear,True,True,True,True,True,0.4,0.6,1.0,1.0,1.5,499523.2300786669
linear,True,True,True,True,True,0.4,0.6,1.0,1.5,0.5,439059.0861763662
linear,True,True,True,True,True,0.4,0.6,1.0,1.5,1.0,468688.9142395035
linear,True,True,True,True,True,0.4,0.6,1.0,1.5,1.5,499526.45549228374
linear,True,True,True,True,True,0.4,0.6,1.2,0.5,0.5,439064.03985457466
linear,True,True,True,True,True,0.4,0.6,1.2,0.5,1.0,468693.06481690035
linear,True,True,True,True,True,0.4,0.6,1.2,0.5,1.5,499530.46877164015
linear,True,True,True,True,True,0.4,0.6,1.2,1.0,0.5,439067.86612631066
linear,True,True,True,True,True,0.4,0.6,1.2,1.0,1.0,468696.3915588547
linear,True,True,True,True,True,0.4,0.6,1.2,1.0,1.5,499533.694185257
linear,True,True,True,True,True,0.4,0.6,1.2,1.5,0.5,439071.6923980469
linear,True,True,True,True,True,0.4,0.6,1.2,1.5,1.0,468699.71830080915
linear,True,True,True,True,True,0.4,0.6,1.2,1.5,1.5,499536.91959887405
linear,True,True,True,True,True,0.6,0.2,0.8,0.5,0.5,176418.85290443953
linear,True,True,True,True,True,0.6,0.2,0.8,0.5,1.0,207262.60790074043
linear,True,True,True,True,True,0.6,0.2,0.8,0.5,1.5,238574.35794805994
linear,True,True,True,True,True,0.6,0.2,0.8,1.0,0.5,176422.16603127666
linear,True,True,True,True,True,0.6,0.2,0.8,1.0,1.0,207265.7356731868
linear,True,True,True,True,True,0.6,0.2,0.8,1.0,1.5,238577.41700187558
linear,True,True,True,True,True,0.6,0.2,0.8,1.5,0.5,176425.4791581137
linear,True,True,True,True,True,0.6,0.2,0.8,1.5,1.0,207268.8634456332
linear,True,True,True,True,True,0.6,0.2,0.8,1.5,1.5,238580.47605569122
linear,True,True,True,True,True,0.6,0.2,1.0,0.5,0.5,176429.6164257053
linear,True,True,True,True,True,0.6,0.2,1.0,0.5,1.0,207272.69710250624
linear,True,True,True,True,True,0.6,0.2,1.0,0.5,1.5,238584.23586681308
linear,True,True,True,True,True,0.6,0.2,1.0,1.0,0.5,176432.92955254248
linear,True,True,True,True,True,0.6,0.2,1.0,1.0,1.0,207275.82487495273
linear,True,True,True,True,True,0.6,0.2,1.0,1.0,1.5,238587.29492062877
linear,True,True,True,True,True,0.6,0.2,1.0,1.5,0.5,176436.24267937953
linear,True,True,True,True,True,0.6,0.2,1.0,1.5,1.0,207278.9526473991
linear,True,True,True,True,True,0.6,0.2,1.0,1.5,1.5,238590.3539744445
linear,True,True,True,True,True,0.6,0.2,1.2,0.5,0.5,176440.37994697114
linear,True,True,True,True,True,0.6,0.2,1.2,0.5,1.0,207282.7863042722
linear,True,True,True,True,True,0.6,0.2,1.2,0.5,1.5,238594.11378556633
linear,True,True,True,True,True,0.6,0.2,1.2,1.0,0.5,176443.69307380822
linear,True,True,True,True,True,0.6,0.2,1.2,1.0,1.0,207285.9140767186
linear,True,True,True,True,True,0.6,0.2,1.2,1.0,1.5,238597.17283938202
linear,True,True,True,True,True,0.6,0.2,1.2,1.5,0.5,176447.00620064532
linear,True,True,True,True,True,0.6,0.2,1.2,1.5,1.0,207289.04184916493
linear,True,True,True,True,True,0.6,0.2,1.2,1.5,1.5,238600.2318931977
linear,True,True,True,True,True,0.6,0.4,0.8,0.5,0.5,309697.1012226926
linear,True,True,True,True,True,0.6,0.4,0.8,0.5,1.0,339942.40925998933
linear,True,True,True,True,True,0.6,0.4,0.8,0.5,1.5,370978.4375454491
linear,True,True,True,True,True,0.6,0.4,0.8,1.0,0.5,309700.7308250468
linear,True,True,True,True,True,0.6,0.4,0.8,1.0,1.0,339945.7360019438
linear,True,True,True,True,True,0.6,0.4,0.8,1.0,1.5,370981.4965992648
linear,True,True,True,True,True,0.6,0.4,0.8,1.5,0.5,309704.3604274009
linear,True,True,True,True,True,0.6,0.4,0.8,1.5,1.0,339949.06274389825
linear,True,True,True,True,True,0.6,0.4,0.8,1.5,1.5,370984.5556530806
linear,True,True,True,True,True,0.6,0.4,1.0,0.5,0.5,309708.9924534054
linear,True,True,True,True,True,0.6,0.4,1.0,0.5,1.0,339953.2133212952
linear,True,True,True,True,True,0.6,0.4,1.0,0.5,1.5,370988.3154642023
linear,True,True,True,True,True,0.6,0.4,1.0,1.0,0.5,309712.6220557596
linear,True,True,True,True,True,0.6,0.4,1.0,1.0,1.0,339956.5400632494
linear,True,True,True,True,True,0.6,0.4,1.0,1.0,1.5,370991.3745180181
linear,True,True,True,True,True,0.6,0.4,1.0,1.5,0.5,309716.2516581138
linear,True,True,True,True,True,0.6,0.4,1.0,1.5,1.0,339959.8668052039
linear,True,True,True,True,True,0.6,0.4,1.0,1.5,1.5,370994.4335718337
linear,True,True,True,True,True,0.6,0.4,1.2,0.5,0.5,309720.88368411816
linear,True,True,True,True,True,0.6,0.4,1.2,0.5,1.0,339964.0173826008
linear,True,True,True,True,True,0.6,0.4,1.2,0.5,1.5,370998.19338295556
linear,True,True,True,True,True,0.6,0.4,1.2,1.0,0.5,309724.51328647236
linear,True,True,True,True,True,0.6,0.4,1.2,1.0,1.0,339967.34412455524
linear,True,True,True,True,True,0.6,0.4,1.2,1.0,1.5,371001.25243677123
linear,True,True,True,True,True,0.6,0.4,1.2,1.5,0.5,309728.14288882655
linear,True,True,True,True,True,0.6,0.4,1.2,1.5,1.0,339970.67086650955
linear,True,True,True,True,True,0.6,0.4,1.2,1.5,1.5,371004.31149058696
linear,True,True,True,True,True,0.6,0.6,0.8,0.5,0.5,443454.67373865243
linear,True,True,True,True,True,0.6,0.6,0.8,0.5,1.0,472902.58175885
linear,True,True,True,True,True,0.6,0.6,0.8,0.5,1.5,503574.8165003417
linear,True,True,True,True,True,0.6,0.6,0.8,1.0,0.5,443458.50001038855
linear,True,True,True,True,True,0.6,0.6,0.8,1.0,1.0,472905.90850080445
linear,True,True,True,True,True,0.6,0.6,0.8,1.0,1.5,503578.0419139585
linear,True,True,True,True,True,0.6,0.6,0.8,1.5,0.5,443462.32628212473
linear,True,True,True,True,True,0.6,0.6,0.8,1.5,1.0,472909.2352427589
linear,True,True,True,True,True,0.6,0.6,0.8,1.5,1.5,503581.2673275755
linear,True,True,True,True,True,0.6,0.6,1.0,0.5,0.5,443467.2799603331
linear,True,True,True,True,True,0.6,0.6,1.0,0.5,1.0,472913.3858201556
linear,True,True,True,True,True,0.6,0.6,1.0,0.5,1.5,503585.2806069318
linear,True,True,True,True,True,0.6,0.6,1.0,1.0,0.5,443471.1062320691
linear,True,True,True,True,True,0.6,0.6,1.0,1.0,1.0,472916.71256211004
linear,True,True,True,True,True,0.6,0.6,1.0,1.0,1.5,503588.5060205486
linear,True,True,True,True,True,0.6,0.6,1.0,1.5,0.5,443474.93250380526
linear,True,True,True,True,True,0.6,0.6,1.0,1.5,1.0,472920.03930406447
linear,True,True,True,True,True,0.6,0.6,1.0,1.5,1.5,503591.73143416556
linear,True,True,True,True,True,0.6,0.6,1.2,0.5,0.5,443479.88618201367
linear,True,True,True,True,True,0.6,0.6,1.2,0.5,1.0,472924.1898814614
linear,True,True,True,True,True,0.6,0.6,1.2,0.5,1.5,503595.74471352197
linear,True,True,True,True,True,0.6,0.6,1.2,1.0,0.5,443483.71245374973
linear,True,True,True,True,True,0.6,0.6,1.2,1.0,1.0,472927.5166234157
linear,True,True,True,True,True,0.6,0.6,1.2,1.0,1.5,503598.9701271389
linear,True,True,True,True,True,0.6,0.6,1.2,1.5,0.5,443487.5387254859
linear,True,True,True,True,True,0.6,0.6,1.2,1.5,1.0,472930.84336537006
linear,True,True,True,True,True,0.6,0.6,1.2,1.5,1.5,503602.1955407558
linear,True,True,True,True,True,0.8,0.2,0.8,0.5,0.5,180707.19807962832
linear,True,True,True,True,True,0.8,0.2,0.8,0.5,1.0,211449.91218093564
linear,True,True,True,True,True,0.8,0.2,0.8,0.5,1.5,242648.72330734585
linear,True,True,True,True,True,0.8,0.2,0.8,1.0,0.5,180710.51120646537
linear,True,True,True,True,True,0.8,0.2,0.8,1.0,1.0,211453.0399533821
linear,True,True,True,True,True,0.8,0.2,0.8,1.0,1.5,242651.71593198573
linear,True,True,True,True,True,0.8,0.2,0.8,1.5,0.5,180713.82433330256
linear,True,True,True,True,True,0.8,0.2,0.8,1.5,1.0,211456.16772582845
linear,True,True,True,True,True,0.8,0.2,0.8,1.5,1.5,242654.7085566255
linear,True,True,True,True,True,0.8,0.2,1.0,0.5,0.5,180717.9616008941
linear,True,True,True,True,True,0.8,0.2,1.0,0.5,1.0,211460.00138270145
linear,True,True,True,True,True,0.8,0.2,1.0,0.5,1.5,242658.36086651654
linear,True,True,True,True,True,0.8,0.2,1.0,1.0,0.5,180721.2747277312
linear,True,True,True,True,True,0.8,0.2,1.0,1.0,1.0,211463.12915514794
linear,True,True,True,True,True,0.8,0.2,1.0,1.0,1.5,242661.3534911564
linear,True,True,True,True,True,0.8,0.2,1.0,1.5,0.5,180724.58785456838
linear,True,True,True,True,True,0.8,0.2,1.0,1.5,1.0,211466.25692759437
linear,True,True,True,True,True,0.8,0.2,1.0,1.5,1.5,242664.34611579622
linear,True,True,True,True,True,0.8,0.2,1.2,0.5,0.5,180728.72512215993
linear,True,True,True,True,True,0.8,0.2,1.2,0.5,1.0,211470.0905844674
linear,True,True,True,True,True,0.8,0.2,1.2,0.5,1.5,242667.99842568728
linear,True,True,True,True,True,0.8,0.2,1.2,1.0,0.5,180732.03824899704
linear,True,True,True,True,True,0.8,0.2,1.2,1.0,1.0,211473.2183569138
linear,True,True,True,True,True,0.8,0.2,1.2,1.0,1.5,242670.9910503271
linear,True,True,True,True,True,0.8,0.2,1.2,1.5,0.5,180735.35137583414
linear,True,True,True,True,True,0.8,0.2,1.2,1.5,1.0,211476.3461293602
linear,True,True,True,True,True,0.8,0.2,1.2,1.5,1.5,242673.9836749669
linear,True,True,True,True,True,0.8,0.4,0.8,0.5,0.5,314062.6898143904
linear,True,True,True,True,True,0.8,0.4,0.8,0.5,1.0,344214.6482466012
linear,True,True,True,True,True,0.8,0.4,0.8,0.5,1.5,375099.3337430466
linear,True,True,True,True,True,0.8,0.4,0.8,1.0,0.5,314066.31941674446
linear,True,True,True,True,True,0.8,0.4,0.8,1.0,1.0,344217.96137343836
linear,True,True,True,True,True,0.8,0.4,0.8,1.0,1.5,375102.4615154931
linear,True,True,True,True,True,0.8,0.4,0.8,1.5,0.5,314069.9490190987
linear,True,True,True,True,True,0.8,0.4,0.8,1.5,1.0,344221.27450027544
linear,True,True,True,True,True,0.8,0.4,0.8,1.5,1.5,375105.5892879396
linear,True,True,True,True,True,0.8,0.4,1.0,0.5,0.5,314074.58104510314
linear,True,True,True,True,True,0.8,0.4,1.0,0.5,1.0,344225.411767867
linear,True,True,True,True,True,0.8,0.4,1.0,0.5,1.5,375109.42294481257
linear,True,True,True,True,True,0.8,0.4,1.0,1.0,0.5,314078.2106474573
linear,True,True,True,True,True,0.8,0.4,1.0,1.0,1.0,344228.72489470424
linear,True,True,True,True,True,0.8,0.4,1.0,1.0,1.5,375112.55071725906
linear,True,True,True,True,True,0.8,0.4,1.0,1.5,0.5,314081.8402498115
linear,True,True,True,True,True,0.8,0.4,1.0,1.5,1.0,344232.0380215413
linear,True,True,True,True,True,0.8,0.4,1.0,1.5,1.5,375115.6784897054
linear,True,True,True,True,True,0.8,0.4,1.2,0.5,0.5,314086.472275816
linear,True,True,True,True,True,0.8,0.4,1.2,0.5,1.0,344236.17528913287
linear,True,True,True,True,True,0.8,0.4,1.2,0.5,1.5,375119.5121465785
linear,True,True,True,True,True,0.8,0.4,1.2,1.0,0.5,314090.10187817
linear,True,True,True,True,True,0.8,0.4,1.2,1.0,1.0,344239.48841597
linear,True,True,True,True,True,0.8,0.4,1.2,1.0,1.5,375122.63991902483
linear,True,True,True,True,True,0.8,0.4,1.2,1.5,0.5,314093.73148052423
linear,True,True,True,True,True,0.8,0.4,1.2,1.5,1.0,344242.80154280714
linear,True,True,True,True,True,0.8,0.4,1.2,1.5,1.5,375125.7676914712
linear,True,True,True,True,True,0.8,0.6,0.8,0.5,0.5,447870.52006609156
linear,True,True,True,True,True,0.8,0.6,0.8,0.5,1.0,477210.19301309856
linear,True,True,True,True,True,0.8,0.6,0.8,0.5,1.5,507774.7798641152
linear,True,True,True,True,True,0.8,0.6,0.8,1.0,0.5,447874.3463378277
linear,True,True,True,True,True,0.8,0.6,0.8,1.0,1.0,477213.7110206843
linear,True,True,True,True,True,0.8,0.6,0.8,1.0,1.5,507778.1066060696
linear,True,True,True,True,True,0.8,0.6,0.8,1.5,0.5,447878.17260956386
linear,True,True,True,True,True,0.8,0.6,0.8,1.5,1.0,477217.22902827023
linear,True,True,True,True,True,0.8,0.6,0.8,1.5,1.5,507781.433348024
linear,True,True,True,True,True,0.8,0.6,1.0,0.5,0.5,447883.1262877722
linear,True,True,True,True,True,0.8,0.6,1.0,0.5,1.0,477221.6936361312
linear,True,True,True,True,True,0.8,0.6,1.0,0.5,1.5,507785.5839254208
linear,True,True,True,True,True,0.8,0.6,1.0,1.0,0.5,447886.9525595082
linear,True,True,True,True,True,0.8,0.6,1.0,1.0,1.0,477225.2116437171
linear,True,True,True,True,True,0.8,0.6,1.0,1.0,1.5,507788.9106673752
linear,True,True,True,True,True,0.8,0.6,1.0,1.5,0.5,447890.7788312444
linear,True,True,True,True,True,0.8,0.6,1.0,1.5,1.0,477228.7296513029
linear,True,True,True,True,True,0.8,0.6,1.0,1.5,1.5,507792.2374093297
linear,True,True,True,True,True,0.8,0.6,1.2,0.5,0.5,447895.73250945285
linear,True,True,True,True,True,0.8,0.6,1.2,0.5,1.0,477233.194259164
linear,True,True,True,True,True,0.8,0.6,1.2,0.5,1.5,507796.3879867266
linear,True,True,True,True,True,0.8,0.6,1.2,1.0,0.5,447899.55878118885
linear,True,True,True,True,True,0.8,0.6,1.2,1.0,1.0,477236.71226674976
linear,True,True,True,True,True,0.8,0.6,1.2,1.0,1.5,507799.7147286808
linear,True,True,True,True,True,0.8,0.6,1.2,1.5,0.5,447903.38505292503
linear,True,True,True,True,True,0.8,0.6,1.2,1.5,1.0,477240.2302743357
linear,True,True,True,True,True,0.8,0.6,1.2,1.5,1.5,507803.04147063533
linear,True,True,True,True,False,0.4,0.2,0.8,0.5,0.5,143334.33904828754
linear,True,True,True,True,False,0.4,0.2,0.8,0.5,1.0,143334.33904828754
linear,True,True,True,True,False,0.4,0.2,0.8,0.5,1.5,143334.33904828754
linear,True,True,True,True,False,0.4,0.2,0.8,1.0,0.5,143338.60428207746
linear,True,True,True,True,False,0.4,0.2,0.8,1.0,1.0,143338.60428207746
linear,True,True,True,True,False,0.4,0.2,0.8,1.0,1.5,143338.60428207746
linear,True,True,True,True,False,0.4,0.2,0.8,1.5,0.5,143342.86951586732
linear,True,True,True,True,False,0.4,0.2,0.8,1.5,1.0,143342.86951586732
linear,True,True,True,True,False,0.4,0.2,0.8,1.5,1.5,143342.86951586732
linear,True,True,True,True,False,0.4,0.2,1.0,0.5,0.5,143348.54925749922
linear,True,True,True,True,False,0.4,0.2,1.0,0.5,1.0,143348.54925749922
linear,True,True,True,True,False,0.4,0.2,1.0,0.5,1.5,143348.54925749922
linear,True,True,True,True,False,0.4,0.2,1.0,1.0,0.5,143352.81449128914
linear,True,True,True,True,False,0.4,0.2,1.0,1.0,1.0,143352.81449128914
linear,True,True,True,True,False,0.4,0.2,1.0,1.0,1.5,143352.81449128914
linear,True,True,True,True,False,0.4,0.2,1.0,1.5,0.5,143357.07972507903
linear,True,True,True,True,False,0.4,0.2,1.0,1.5,1.0,143357.07972507903
linear,True,True,True,True,False,0.4,0.2,1.0,1.5,1.5,143357.07972507903
linear,True,True,True,True,False,0.4,0.2,1.2,0.5,0.5,143362.7594667109
linear,True,True,True,True,False,0.4,0.2,1.2,0.5,1.0,143362.7594667109
linear,True,True,True,True,False,0.4,0.2,1.2,0.5,1.5,143362.7594667109
linear,True,True,True,True,False,0.4,0.2,1.2,1.0,0.5,143367.02470050083
linear,True,True,True,True,False,0.4,0.2,1.2,1.0,1.0,143367.02470050083
linear,True,True,True,True,False,0.4,0.2,1.2,1.0,1.5,143367.02470050083
